i-SmAacTGFQQZUpkVFTGUZqj	Följande skrivelser hade kommit in:
i-Sn9ug6zSAEkYp2NQoyJRMj	För att förmå den självutnämnda talibanregimen att respektera mänskliga rättigheter arbetar Sverige tillsammans med andra. Vi för inga samtal med talibanregimen på politisk nivå, eftersom det skulle legitimera dem. Vi använder FN, som finns på plats i landet, och FN har kontinuerlig kontakt med talibanerna. De är tydliga i sina kontakter med talibanerna när det gäller vilka krav som ska ställas för att de ska få humanitärt stöd. FN:s generalsekreterare har uttryckt stor oro över bristen på respekt för mänskliga rättigheter, och han har också skrivit en rapport där detta kommer fram.
i-HpBYe8miHX1hjFCpgaYQcQ	Vi arbetar också genom EU. EU träffar talibanregimen. EU:s rådsslutsatser om Afghanistan har legat till grund för diskussionerna, och där ingår krav på respekt för mänskliga rättigheter , även för personer som tillhör minoriteter. Jag träffar också representanter för länder som har kontakt med den självutnämnda talibanregimen. Där redogör jag för Sveriges inställning och den oro som vi har för vad som händer i landet.
i-X5eXZip1cTRAf3mqriBAMc	Att vi kommunicerar kraven och förväntningarna som vi har på taliban ­ erna tillsammans med andra gör oss starkare. Det är inte bara Sverige som vill se ett Afghanistan som respekterar individers åtnjutande av mänskliga rättigheter, utan det är så gott som hela det internationella samfundet.
i-8toWcpU6sQYUHHf3PXC9EG	Det är oklart för mig om Staffan Eklöf vill att jag ska ha direktkontakt med den självutnämnda talibanregimen för att framföra svenska krav. Jag har ingen avsikt att träffa den självutnämnda talibanregimens utrikesminister.
i-Qj6YzqjK55TE5QkvDevvbx	Fru talman! FN ställer krav, men inte Sverige. Men fortfarande handlar det om generella krav. Den givna frågan som vi vill ha svar på är om FN ställer krav på att hejda och lagföra dem som mördar kristna. Det kunde ministern ha svarat på i sitt svar på min skriftliga fråga. Jag misstänker att man inte är så hård. Om FN villkorar sitt stöd undrar jag varför det fort ­ sätter. Förmodligen villkorar inte FN sitt stöd.
i-BhR3eHCucyLdQvoSjiGtvP	I tidningen Afghanistan-Nytt står det att världssamfundet har hittat ett sätt att utan att bryta mot rådande finansiella sanktioner flyga in kontanter i landet. Det står sedan att det underlättar vardagslivet och gör att löner till en del offentliganställda har börjat betalas ut. Med andra ord går svenska pengar som har givits till FN-organisationer till att betala ut löner till offentliganställda som lyder under den självutnämnda talibanregimen. Det måste man väl ändå kunna villkora med att talibanerna ska anstränga sig att hejda och lagföra religiösa fanatiker som mördar kristna?
i-DGbC5Y2QMRk4qnqxvzEnVK	Åtminstone i min värld är det så. Jag tycker att man ska ställa sådana villkor. Annars kan man tro att organisationerna inte tar frågan på allvar. Så är det naturligtvis inte, men man måste vara mycket tydlig i dessa frågor.
i-BiD2nqsoeNsfUtFW6R7k9Z	Fru talman! Det som pågår i Afghanistan är oerhört tragiskt. Det handlar om diskriminering av kvinnor och flickor, åsidosättande av medie- och yttrandefrihet och att inte kunna utöva sin tro av rädsla för hot eller förföljelse. Åtnjutande av mänskliga rättigheter för personer som tillhör minoriteter, inklusive kristna, är en central fråga som jag kommer att fortsätta att driva tillsammans med andra. Detsamma gäller kravet på en inkluderande regering där också personer som tillhör religiösa minoriteter får plats. Fast jag kommer inte att göra det genom aktiv engagemangspolitik med den självutnämnda talibanregimen.
i-CheNJTHVbxdChAuGXAhjTY	Det humanitära biståndet är ägnat att rädda liv och lindra nöd för den afghanska befolkningen. Jag kommer inte att utnyttja den afghanska befolkningens, inklusive religiösa minoriteters, behov av stöd i ett spel för att utöva tryck mot den självutnämnda talibanregimen. Lidandet är tillräckligt stort ändå.
i-HAuSrigquUC2EJ1qMgkxHf	Sverige ska fortsätta att stå upp för de viktiga principerna om humanitet, opartiskhet, neutralitet och oberoende. Däremot måste Sverige och det internationella samfundet se till att biståndet inte utnyttjas av talibanerna. Inget bistånd ska finansiera eller legitimera talibanerna. Därför tycker jag att det är bra att Sidas riktlinjer för bistånd till Afghanistan tydliggör att inget stöd ska ges via aktörer som möjliggör institutionaliserade former av diskriminering eller brott mot mänskliga rättigheter. Likafullt kommer vi via vårt bistånd att fortsätta att stödja civilsamhället, som agerar för att stärka mänskliga rättigheter i Afghanistan.
i-R4NQdyDaB6ev6cnhtYbvan	Fru talman! Markus Wiechel har frågat mig vilka åtgärder jag avser att vidta i syfte att verka för att Taiwan får samma möjlighet till engagemang i exempelvis FN:s olika organisationer som andra länder. Vidare har Markus Wiechel frågat mig varför Taiwans diplomatiska representation i Sverige inte får en status som är likvärdig andra ambassader s . Markus Wiechel har också frågat mig vilka åtgärder jag avser att vidta i syfte att stärka de diplomatiska banden mellan Taiwan och Sverige samt de internationella organ där Sverige finns representerat . Slutligen har Markus Wiechel frågat mig om det kan bli aktuellt med en förändring i ett-Kina-politiken, mot bakgrund av Kinas agerande mot Taiwan .
i-Fckq7QK3Q9TK5M5fUBW81E	Samtliga EU-länder har i dag diplomatiska förbindelser med Kina, och alla följer den så kallade ett-Kina-politiken. Som jag tidigare har meddelat riksdagen betyder det att vi inte ser någon möjlighet att erkänna Taiwan som stat. Av detta följer att Taiwans representationskontor i Stockholm inte kan likställas med en ambassad. Regeringen avser inte att ändra sin ett-Kina-politik.
i-2pdRNqqS4VZpHtZB7ugnFC	Sveriges goda förbindelser med Taiwan har utvecklats över många år inom ett flertal områden. Handelsutbytet med Taiwan är ett exempel. Svenska företag har haft en lång och framgångsrik närvaro i Taiwan, och i dag verkar närmare hundra svenska företag där. Business Sweden-kontoret i Taiwan har varit aktivt sedan 1991 och var ett av dåvarande Exportrådets första kontor i Asien. Regeringen vill fortsätta utveckla förbindelserna med Taiwan.
i-EcKDortmedqoiTfAxreGBg	Regeringens utgångspunkt är att verka för ett så brett och heltäckande deltagande som möjligt i det internationella samarbetet. Det gäller också Taiwan. Både Sverige och EU har ett intresse av att Taiwan deltar i internationella organisationer. Vad gäller fullvärdigt deltagande i FN vill jag förtydliga att medlemskap i FN endast är öppet för stater. Taiwan är däremot medlem i exempelvis Världshandelsorganisationen, Asiatiska utveck ­ lingsbanken och Internationella olympiska kommittén. Regeringen stöder Taiwans möjligheter att delta i internationella organisationer.
i-WHxASxtzbqt53ABGhVGici	Fru talman! Jag tackar utrikesministern för svaret.
i-VfimHh3vhxBRJWxu5vJVza	Inledningsvis vill jag säga att jag under debatten kommer att referera till Taiwan som en självständig stat, något den de facto är. Dessutom vill jag säga att jag uppskattar utrikesministerns vilja och att hon tydligt säger att man vill stötta Taiwan och utveckla det utbyte vi har med Taiwan.
i-GDmSeGnZb3UMoyRKuKErR9	Taiwan är inom praktiskt taget alla områden ett globalt föredöme. Landet är framstående i fråga om utbildning, innovationer, företagande och ekonomi. Inte minst under coronapandemin har vi sett vilket föredöme landet har varit när det kommer till den inhemska hanteringen av smittan och den hjälp som Taiwan har erbjudit flera länder runt om i världen, däribland Sverige, med bland annat skyddsutrustning, munskydd och så vidare.
i-Mqjg5heha2dchha1McVpi4	Regeringen har haft en uttalad demokratioffensiv i sin utrikespolitik. Av den anledningen kan jag tycka att det är lite märkligt att man inte har gjort mer för att stärka Taiwan, som nu de facto anses vara världens åttonde mest demokratiska land. Det är återigen ett föredöme på det här området, inte bara för andra länder runt om i världen utan i synnerhet i den här regionen och gentemot Fastlandskina, som vi vet förtrycker sin egen befolkning och andra befolkningar.
i-2troyTtBiVUQUUGRPJLp3t	Därtill kan man tycka att det hade varit passande för regeringen, om man nu har den här ambitionen, att tydligare visa sitt stöd för Taiwan. Utrikesministern har ju sagt, återigen, att man vill stödja Taiwan och utveckla samarbetet. Men i svaret hör jag faktiskt inte något om vad man konkret har gjort från svensk sida.
i-DfXvKobRr6hmEoJQgJXx55	Har man aktivt stöttat dem, till exempel när de utsatts för isolering inom WHO och sådana organ? På vilket sätt har man i så fall stöttat dem? Har det bara handlat om att man uttalat stöd för dem, eller har man gjort något konkret i de här organen? Har man tagit ledartröjan i det internatio ­ nella samarbetet för att på något sätt lyfta fram de här frågorna? Jag kan tycka att det vore bra om Sverige med den här uttalade ambitionen faktiskt gjorde det.
i-N9MyxkHiFKEtdaT3zvUGkW	Med det sagt skulle jag vilja att utrikesministern förtydligar svaren.
i-Qf3UU8iSrp6C1oubRWoAQq	Fru talman! Markus Wiechel har ställt en mycket viktig interpellation. Taiwan är Asiens främsta demokrati och förtjänar Sveriges och omvärldens oreserverade stöd – inte minst i dessa tider, när många befarar att Kina i skuggan av Rysslands blodiga krig i Ukraina kan få för sig att genomföra ett anfall mot Taiwan.
i-39nrZpR3CGKzKePLR8oCor	Det ska inte råda något tvivel om att Sverige och EU står på Taiwans sida och är beredda att agera mot Kina på samma sätt som man agerar mot Ryssland.
i-135BfCPAzSerqG95jjy1Bg	I sitt svar säger utrikesministern att Sverige har goda förbindelser med Taiwan och att dessa har utvecklats sedan Business Swedens föregångare Exportrådet etablerade ett kontor i Taipei 1991.
i-Vn2egwA2uJyFvKgckpW4aL	Jag har några frågor om Business Swedens kontor, som är Sveriges representation i Taiwan . Varför har vi inte längre en representant på heltid i Taipei? Sedan något år tillbaka har Sverige en så kallad Stockholmsbaserad representation. Varför? Närvaro på plats i Taipei är en förutsättning för framgång när det gäller bevakning av svenska intressen i handelssammanhang, exportfrämjande och investeringsfrämjande.
i-8sPF9RL33p71sQXE4nkbYF	Taiwan är ett av de främsta innovationsländerna och en stark aktör inom för Sverige viktiga områden som it. Taiwan är också världens största tillverkare av halvledare, som är viktiga för svensk industri. Därför är det avgörande med representanter på plats i Taiwan hela tiden när det uppkommer handelsrelaterade frågor som kräver en snabb insats i direkt kontakt med relevanta beslutsfattare på de taiwanesiska myndigheterna.
i-89DmhbHLBmmX6nfPwbwTb2	Närvaro på plats är också avgörande när det gäller att engagera sig i svenska företags verksamhet, motverka handelshinder och arbeta för harmonisering av regelverk. En representant på plats har möjlighet att organisera regelbundna främjande aktiviteter och frekvent delta i alla sammanhang som gör att svenska intressen gör sig påminda eller med andra ord att dörrar öppnas för svenska företag . När Håkan Jevrell var vår representant fungerade detta utmärkt.
i-R3jguLhnZcLYrF1D5KdT7B	Syns man inte finns man inte. Det är en enkel princip som UD har frångått genom att nedgradera representationen till Stockholmsbaserad. Därför undrar jag: Vad är planen? När kommer Sverige att ta plats i Taiwan och växla upp relationerna till en högre nivå?
i-EuUpVVp5XfkZcCtmJA1Aue	Jag undrar också om utrikesministern personligen tänker göra något, till exempel besöka Taiwan eller bjuda in Taiwans utrikesminister Joseph Wu att besöka Sverige.
i-Q5Z1tzZ7mrwTygw87gTZH4	Fru talman! Som sagt öppnade Exportrådet ett kontor i Taipei 1991. Där är Business Sweden nu, och det redan omfattande utbyte vi har med Taiwan bedrivs inom den ramen.
i-UC5ESu51T4Jo3i7kX7mU5P	Jag tycker att det är konstigt att det verkar som om Boriana Åberg inte har förstått att det varit en pandemi i två år. Karantänsreglerna har gjort att vi inte kunnat närvara så mycket i Taiwan som vi skulle ha velat. Vi tittar hela tiden på det här , och vår representant återv änder till Taipei inom kort. Nu ökar dock smittspridningen igen, och då kanske man behöver ha mind ­ re närvaro igen. Det borde inte vara så svårt att förstå.
i-Bdv3auegnTR8VgPL9VRoFn	Både Sverige och EU har i dag goda förbindelser med Taiwan på många områden. Vi har en övertygelse tillsammans med EU att Taiwan har en välutvecklad demokrati och att man efterlever rättsstatens principer. Utbytet finns också inom frågor som gäller mänskliga rättigheter och fackliga rättigheter, inom handel, inom klimatfrågor och inom innovation.
i-WSfs5DiVTpucbKEkJTJkrc	Från regeringens sida ser vi möjligheter till ett ännu mer utökat utbyte mellan Sverige och Taiwan, till exempel inom kultur, forskning och handel.
i-UX5YoEabMyNoyepBZApjCZ	Inom handel har vi ett väldigt brett utbyte. Det finns som sagt över hundra svenska företag där. Vi har också handelsöverläggningar på statssekreterarnivå – vice-minister, som man säger på engelska – årligen ända sedan 1980-talet, så att vi inte har goda och utvecklade kontakter stämmer helt enkelt inte.
i-SARmSKZFLZzm9Y235mWBCv	Inom det internationella samarbetet har Sverige och EU ett fortsatt intresse av att stödja Taiwans deltagande i internationella organisationer. Vi stöder alla möjligheter där man inte måste delta som stat, för låt mig återigen understryka att regeringens hållning i frågor som rör Taiwan ligger fast. Varken Sverige eller EU har för avsikt att ändra ett-Kina-politiken. Det betyder att vi inte ser någon möjlighet att erkänna Taiwan som stat.
i-JqpLujKjwPkW8s7v5fA1Ue	Fru talman! Återigen hörde jag inte utrikesministern nämna något konkret man gjort från regeringens sida för att till exempel bryta isoleringen av Taiwan i internationella organ. Man säger uttalat att man stöder Taiwan, vilket naturligtvis är bra, men det är ingenting konkret.
i-EPQsxBhKc7VcSiCu28MgyB	Det är flera länder i EU som har gått sin egen lilla väg i den här frågan, till exempel Estland och Litauen. EU har inte hindrat dem från att stärka sina diplomatiska relationer med Taiwan, tvärtom. Det har inte förekommit några konstigheter där – mer än att Fastlandskina har varit milt uttryckt lite irriterat.
i-6Dx788KC4m6n8kG1Wf5ZeK	Faktum är att taiwanesiska diplomater i Sverige, det vill säga Taipei ­ missionen, skulle kunna få liknande möjligheter som andra diplomater om bara regeringen ville det. Det är nämligen så att det är regeringen som styr det här landet och ingen annan.
i-WNvTa4XpZEP9aYAcepggAq	Jag skulle vilja återgå till vad Boriana Åberg var inne på här. Det vore trevligt om utrikesministern eller någon annan från regeringen valde att besöka Taipei, att göra ett officiellt besök där för att visa att man vill skapa vänskapliga band med Taiwan. Jag tror att det skulle uppskattas väldigt mycket från den taiwanesiska sidan.
i-RBNYatrtszwP4fJvpiRfRG	Sist men inte minst i det här inlägget: För några år sedan skapade dåvarande statsminister Stefan Löfven något som kallades the Leaders’ Net ­ work. Det var ett inofficiellt nätverk som man skapade, enligt regeringen för att ”bygga global opinion för en hållbar återuppbyggnad efter corona ­ pandemin och stärka det internationella samarbetet”.
i-DhQLHbMA9gNBtpRdYCUkMN	Trots att detta var ett inofficiellt samarbete bjöd man inte in Taiwan, som i synnerhet när det gäller coronafrågan definitivt var ett av de främsta länderna i världen i fråga om att hantera pandemin och som fortfarande är ett föredöme när det gäller hälsoarbetet och många andra sorters arbete. Taiwan är en jätteviktig aktör på den internationella arenan inom innova ­ tion, forskning, utbildning och så vidare.
i-7ibS6357CpX4atH2pZjaW6	Man bjöd inte ens in Taiwan, trots att det var ett inofficiellt nätverk och trots att det faktiskt var statsminister Stefan Löfven som tog initiativ till detta. Min fråga, fru talman, är: Varför?
i-QiHV3vHfbPAVXKyJBwX4W1	Fru talman! Jag har märkt att det råder en pandemi, men arbetet i Taipei kan pågå även under en pandemi. Det är till och med mer behändigt att ha en representant på plats än att ha någon som åker fram och tillbaka ett par gånger om året och får sitta i karantän ett par veckor åt gången.
i-D5nfLzsPkhHNsX3K1aEaiE	Vi värdesätter de relationer som finns, men vi ser den stora potentialen att växla upp och visa stöd för Taiwan på ett bättre sätt. Jag är övertygad om att det gagnar både Sverige, EU och världsfreden att knyta starkare och närmare kontakter med Taiwan.
i-FyPq9fdmpoQgsjFxQqJKM1	Det skulle vara ett mycket välkommet första steg att uppgradera den svenska närvaron i Taiwan med ett House of Sweden, som så många andra länder har gjort. Sverige borde också driva på för ett frihandelsavtal mellan EU och Taiwan. När det gäller House of Sweden skulle jag gärna vilja att ministern återkommer till detta i sin sista replik.
i-XiZJ6miWFaAg1drYioHzdt	Taiwans president Tsai Ing-wen sa förra året, när landet firade natio ­ naldagen, att Taiwan kommer att göra allt för att försvara sin demokrati. När man försvarar demokratin behöver man alla vänner man kan få. Sve ­ rige är ett land som också värdesätter demokrati väldigt högt. Därför måste vi i Sverige stå reservationslöst på Taiwans sida och visa att Sverige är att räkna med.
i-5rghw74rNewfCiC7DaDGDX	Fru talman! Jag tycker att det är olyckligt att Markus Wiechel verkar antyda att Estland och Litauen skulle ha en annan syn på Taiwans status och inte stödja ett-Kina-politiken. Detta stämmer inte. Samtliga EU-länder, inklusive Estland och Litauen, har understrukit, särskilt den senaste tiden, att de fortsatt stöder ett-Kina-politiken.
i-8D79mcAhgNuaKPEV6GQ5pF	Regeringens utgångspunkt är att verka för ett så brett och heltäckande deltagande som möjligt i internationella samarbeten för Taiwan, till ex ­ em ­ pel när det gäller deltagande i olika expertorgan samt när det gäller luftfart, hälsa och handel. Vi tycker att Taiwan bidrar på ett positivt sätt här, och därför är vi aktiva i att arbeta för detta.
i-CMFCnfchjP5XUW77RToTHK	Oaktat frågan om medlemskap i till exempel FN har man bidragit värdefullt inom WHO. Som interpellanten och Boriana Åberg nämnde har man från Taiwans sida också varit väldigt aktiv i att bidra i arbetet mot coronaviruset. Därför stöder regeringen att Taiwan får delta i WHO:s hälsotekniska arbete, i arbetet när det gäller coronapandemin och på andra områden.
i-GvzyRRx1y27mkbA8E6ruo	Jag ser gärna en utveckling där Taiwan åter får möjlighet att delta i Världshälsoförsamlingen som observatör. Detta gjorde Taiwan 2009 – 2016. Under tiden försöker Sverige och EU att finna praktiska lösningar på hur man skulle kunna inlemma Taiwan i WHO:s arbete.
i-FHGnwwfAA8GxMT8Zx9eK78	Det är beklagligt att Kina försöker att begränsa Taiwans rörelseutrymme. Det är också väldigt oroande att Kinas militära närvaro kring Taiwan har ökat.
i-WcFKfFBvgsnjiK3a2CQNQY	Som jag har sagt tidigare verkar både Sverige och EU för en fredlig konfliktlösning på folkrättens grundvalar i alla internationella sammanhang. Därför måste Kina, liksom alla andra stater, efterleva sina folkrättsliga förpliktelser. De meningsmotsättningar som finns mellan Folkrepubliken Kina och Taiwan måste lösas på fredlig väg och på ett sätt som överensstämmer med viljan hos Taiwans befolkning. Regeringen tar fullt avstånd från bruket av militära hot.
i-XYzCY4wnb2GtExw59Pp4D	Fru talman! Jag vill förtydliga att jag inte hävdar att Estland och Litauen på något sätt har frångått ett-Kina-politiken; de står bakom den. Däremot har de gått lite längre när det gäller relationerna till Taiwan, vilket jag ser som inte bara modigt utan också moraliskt korrekt. Jag hade hoppats att Sverige, inte minst med tanke på den demokratioffensiv som man säger sig stå för, skulle följa detta exempel och visa att det faktiskt lönar sig att vara en demokrati, inte minst i den regionen och med tanke på de omständigheter som Taiwan lyder under.
i-27xeNUiF4cxHfLt61XXRti	När det gäller en observatörsroll är det naturligtvis bra att utrikesministern klart och tydligt säger att man stöder Taiwans deltagande i olika internationella organisationer – oavsett om det är som medlem eller i en observatörsroll är det betydligt bättre att de är med i det internationella samarbetet än att de står utanför det. Men vad, konkret, har man gjort?
i-AcMtzrohsftnpuuy5vUj76	Jag vill också återgå till den fråga som jag ställde tidigare, som jag inte tycker att jag har fått svar på. Den handlar om the Leaders ’ Network , som Stefan Löfven skapade. Hur kommer det sig att man över huvud taget inte involverade Taiwan i detta? Det hade ju varit ett fantastiskt sätt att i praktiken visa att man vill inkludera dem i det internationella samarbetet samtidigt som man inte frångår några förpliktelser eller frångår den hållning som man tvingas ha när det gäller ett-Kina-politiken.
i-4q1eKa6VJZTWEUpTfZuiUp	Fru talman! Regeringen har ett givande och regelbundet utbyte med Taiwan, både i Sverige och i Taiwan. Kontakterna mellan Sverige och Taiwan är omfattande, trots avsaknaden av diplomatiska förbindelser. Som jag redan har nämnt har Sverige ett handelskontor i Taipei, och handels ­ utbytet är en viktig del av våra relationer. Det är också kulturutbytet, det akademiska samarbetet och de parlamentariska kontakterna. Matilda Ernkrans var till exempel, i sin roll som forskningsminister, på officiellt besök i Taipei.
i-HQQWNJvGBZBEhkReemCTqf	Regeringen kommer att fortsätta att bredda utbytet med Taiwan. Sve ­ rige kommer även fortsättningsvis att stödja Taiwans deltagande i interna ­ tionella sammanhang som inte kräver status som stat. Många globala ut ­ maningar kräver ett så brett och heltäckande deltagande i det internatio ­ nella samarbetet som möjligt. Ett exempel på internationell samverkan där Taiwan deltar är arbetet i Världshandelsorganisationen för att upprätthålla den regelbaserade handelsordningen.
i-7WcPaeCksCwRf5FtDPT1cA	Däremot avser regeringen inte att ändra ett-Kina-politiken. Arbetet för att utveckla förbindelserna med Taiwan kommer att fortlöpa inom ramen för de existerande förbindelserna.
i-QJVVWFx43ev4Auumej8GM8	Följande frågor för skriftliga svar hade framställts:
