i-GqTVVDjJXYwXJFxbmhLeYz	Följande skrivelser hade kommit in:
i-LhYJ6DFEA7FK88aYdMaJPy	Även när det gäller kontroversiella frågor som inte borde vara kontroversiella, som kvinnors rätt att bestämma över sina egna kroppar och flickors rätt att bestämma över sina egna kroppar, har vi varit mycket tydliga och nått fram.
i-PZbfjg1eK9KG6qT1oMfHVL	Precis som utrikesministern nämnde finns det ett arbete i till exempel UN Women som speciellt nämner till exempel könsstympning. Hedersvåld, tvångsäktenskap, barnäktenskap och könsstympning går hand i hand, alltså att kvinnor och flickor inte får bestämma över sina egna kroppar och inte får bestämma över sina egna liv.
i-G8U2XMfeYXzau1Nd54ygTK	Jag tror att det också är viktigt att poängtera att detta måste gå hand i hand med annat. Vi ser nämligen att där det är svår fattigdom, konflikter, krig och våld kommer flickors och kvinnors rättigheter längst ned. Det är det som prioriteras bort direkt. Därför måste arbetet för kvinnans rättigheter gå hand i hand med fattigdomsbekämpning, med fredsarbete och med nedrustning. Det är också så vi kan se till att rättigheterna bibehålls. Annars blir det en backlash där kvinnor drabbas. Vi kan se att det sexuella våldet ökar i krig och att det också används som ett vapen, vilket utrikesministern uppmärksammade världen på redan när hon hade detta speciella uppdrag i FN om sexuellt våld i konflikter.
i-TpZV9wGXFJB47dZA13cQDt	Kvinnor blir tyvärr också ofta en handelsvara. Man kan se det när det gäller IS fruktansvärda slavhandel. Men man kan också se att risken ökar för tvångs- och barnäktenskap. Det är naturligtvis patriarkala strukturer som är huvudproblemet. Men fattigdom förstärker problemet där kvinnor används som ett ekonomiskt medel.
i-RxufMs7ekzX53m2PM8S642	Sverige har aktivt bidragit till att Världsbanken har kartlagt 173 länder när det gäller diskriminering. Där gäller kvinnors rättigheter som en tydlig diskriminering.
i-MrZdtNPcTzubPKY5gRzVj4	Jag tycker att detta är en bra ingång som vi ska fortsätta jobba med. Det är möjligt att man ska ha något annat utöver det. Men det är viktigt att vi har denna kartläggning och följer upp hur det går, som Amineh Kakabaveh nämner.
i-q6f1dWUVTzg82Y7CajUn7	Fru talman! Amineh Kakabaveh ställer en viktig fråga, nämligen: Hur följer vi upp? Hur vet vi hur saker och ting utvecklas?
i-G9h5ixZHhBvSzkDh6JToFZ	Som svar kan jag säga att Sverige är ett av två länder i världen som gör omfattande rapporter om mänskliga rättigheter, demokrati och rättsstatens principer. Förra året presenterade vi 135 rapporter, och vi har fortsatt i år. I år har vi fokuserat mer geografiskt, men vi kommer att täcka mer och mer så småningom. Även genom alla de FN-organ som just har till uppgift att exempelvis följa kvinnors och flickors rättigheter och möjligheter runt om i världen görs den här kartläggningen.
i-DDQ6HbivfWYvvvmfXfv4fB	Detta är väldigt utförligt; de MR-rapporter vi gör täcker alla dessa frågor – i stor detalj, faktiskt. Därför är det lättare för oss att genom alla våra utlandsmyndigheter följa upp. Vi kan föra diskussioner med civilsamhället om hur vi ska arbeta mot könsstympning eller barnäktenskap. Jag såg det också själv, till exempel när jag reste till Lake Chad-regionen – till både Niger och Tchad – för att prata med företrädare där. Vi har med oss en rad fakta och uppgifter som kan användas i dialogen med politiska beslutsfattare. Det är väldigt viktigt.
i-dHSXq9kbN6qcCwT7JFmFT	Jag känner mig alltså trygg med det vi gör som enskilt land. Vi är nämligen unika i det sätt på vilket vi skriver MR-rapporter men också i att vi förstås arbetar såväl via FN-organen och i EU som i andra sammanhang – inte minst i rådet för mänskliga rättigheter i Genève och de regelbundna rapporter och översyner som görs där – för att kunna följa den här frågan i alla dess detaljer.
i-VkEoVGrE9N5cVjWHjSzEKM	Sedan kan man också säga att även det normativa är viktigt. Det startar egentligen i deklarationen om mänskliga rättigheter. I FN-stadgan, som snart fyller 75 år, står det att ett av syftena med FN är att främja respekten för mänskliga rättigheter utan åtskillnad mellan könen. Det normativa arbetet med att förhindra hedersförtryck och barn- och tvångsäktenskap är helt centralt, och därför ska vi förstås fortsätta både med att upprätthålla normgivningen och med att följa upp det mycket konkret inte bara i våra egna rapporter utan också genom alla FN-organ.
i-TyM43DYxEoUArxch2FptjF	När man möts i FN-sammanhang, till exempel som man gjorde i New York nyligen för att diskutera Pekingplattformen eller när man träffas för att prata om Agenda 2030 och så vidare, är en viktig del att kunna kontrollera hur länderna lever upp till sina ambitiösa åtaganden. Kommittén för FN:s konvention om avskaffande av diskriminering av kvinnor gör ett jätteviktigt arbete genom att granska staters arbete med att förhindra diskriminering av kvinnor, precis som Världsbanken har gjort med återkomman ­ de rapporter om att det fortfarande finns diskriminerande lagstiftning kvar på väldigt många håll, inklusive i vår egen världsdel.
i-RRSa5VT5D5evy19MqRRw6i	Jag kan alltså bara hålla med om den verklighetsbeskrivning som Amineh Kakabaveh ger och förstås också om behovet av att fortsätta både det normgivande arbetet och den konkreta uppföljningen land för land.
i-MNVG5YPymY9sWGj453bgPx	Fru talman! Tack för redogörelsen, utrikesministern!
i-Usf4GpiYq1QitqggJm55RF	Jag är helt säker på att Sverige gör jättemycket och att utrikesminis ­ terns och Sveriges ambition är stark. Det vet vi, men min fråga är: Okej, det skrevs rapporter om 135 länder förra året, men vad har man åstadkommit? Vilka länder med en lagstiftning som är barbarisk och bygger på medeltida lagar blev brännmärkta eller fick påpekandet att de, som sitter i FN på samma villkor som andra, måste ändra i sina lagar? Utan det kommer det här att fortsätta.
i-R8Rr2rfeMzmV5NYPzUa5Js	I rapporten om länderna söder om Sahara, där barnäktenskap är vanligt, står det att antalet flickor i Afrika kommer att öka från 275 miljoner till 465 miljoner fram till 2050. Om man inte gör någonting i dag, på väg dit, kommer detta att öka. Det finns färska rapporter om att 650 miljoner kvinnor har blivit könsstympade eller gifts bort när de var barn. Det är bra att skriva rapporter om denna barbariska behandling av kvinnor, men man måste också kunna använda rapporterna.
i-X9TNzxEaM9fXySsUyScZHo	Jag menar att Sverige som enskilt land i FN ska föreslå en konferens om hedersfrågorna. Det är nämligen viktigt. Jag vet att man i många länder i Europa känner till att det finns problem med hederskultur; problemet är att det även finns en handfallenhet. Jag tror personligen att en av orsakerna till detta är att flera av dessa stater har ett kolonialt förflutet. Rasismen utgjorde en del av det koloniala förtrycket, och jag skulle vilja säga att många politiker i Europa lider av dåligt samvete för sin historia. De vill inte framstå som rasister eller kulturimperialister, och därför faller de till föga när det gäller kvinnors och barns rättigheter.
i-VAPjxjBFWcTLEf8JjcDFrF	Inom olika kulturer i världen finns det ett fördjupat patriarkalt och religiöst förtryck, och det menar jag att man måste kunna påpeka. Om vårt feministiska stöd till andra länder, till exempel för att kvinnor ska få möjlighet till ekonomisk självständighet för att kunna utbilda sig, hindras av lagar och kulturer måste dessa regeringar underlätta – precis som i andra länder där man har underlättat och stiftat lagar. Om själva lagstiftningen till exempel inte tillåter kvinnor att vara självständiga kommer det inte att fungera.
i-DgoHfoaevspf2G5jJR3Z8M	Mina frågor är därför: Kommer utrikesministern att ta initiativ till inventering, särskilt när det gäller länder med barbariska lagar? Kommer Sverige att i FN ta initiativ till en konferens om hedersförtrycket?
i-MX2crXpJDZaJ4tisCfdkVV	Fru talman! Det är självklart viktigt att man i lag förbjuder kränkningar av flickors och kvinnors mänskliga rättigheter, men det räcker inte. Om vi tittar till exempel på barnäktenskap och könsstympning ser vi att det förekommer även i länder som har förbjudit det.
i-CQRCJNqyT85i8Wk8R14nC3	Ofta är det djupt kulturellt rotat; just när det gäller till exempel könsstympning kan man inte ens säga att det är religiöst betingat, utan det finns kulturer som gör att detta tyvärr går i arv. Det innebär att den generation som har utsatts för det utsätter nästa, och så fortsätter det. Det är klart att lagstiftning hjälper – det är ändå det första steget när det gäller att sätta ned foten för vad man tillåter och inte – men detta är tyvärr utbrett även i länder där det har förbjudits.
i-3MPC28iFX1wZQcChHQ8qTP	Jag tror därför att det är väldigt viktigt med bistånd och stöd till dem som arbetar mot detta. Nu har vi detta som exempel, och sedan finns det ju tvångsäktenskap och andra former av förtryck. Det har dock visat sig att det faktiskt kan få effekt om en kvinna som är speciellt utbildad, till exempel en barnmorska, reser runt i byarna och undervisar om konsekvenserna av könsstympning och att det finns en annan väg att gå. Vi har exempel på att det kan fungera. Det sker inte över en natt, utan det sker långsiktigt.
i-GDZUDsxLtUQh9dAzCFmWCZ	Jag tror att vi måste göra både och. Jag tror att vi måste sätta tryck på lagstiftningen, både på internationell nivå – att man pressar länder som kränker mänskliga rättigheter – och på de inhemska lagarna. Men det handlar också om bistånd och annat arbete som kan undergräva detta på längre sikt. Jag tror också att det är bra att som Sverige vara självkritiska. Vi tillhör ju de länder som anses ha kommit längst, men vi ska kritiskt granska vårt eget land. Det tror jag är viktigt för att vi ska kunna vara en förebild. Vi kan alla göra mer, och det är det kampen handlar om.
i-WBm1tYdMM1QZQBTokgVz1g	Fru talman! Jag tackar först och främst Hillevi Larsson, för en del av det hon sa var detsamma som jag ville säga till Amineh Kakabaveh.
i-4XsCwhoQDycm1Rm6CkQaKv	Jag tror som sagt att vi delar verklighetsanalysen och beskrivningen av hur utmaningarna ser ut runt om i världen. Trots ambitiösa målsättningar och trots att vi har rättskonventioner och annat råder det långt ifrån jämställdhet runt om i världen.
i-PXKESdDSHXKg2zJHraZBhm	Brännmärkning ingår inte i den diplomatiska verktygslådan. Vi använder oss av alla de uppgifter vi har – till exempel använder våra utlandsmyndigheter de MR-rapporter som vi sammanställer själva i vårt eget land.
i-BcykdtxMnXjgcjCNeihcQY	Hur använder man dem? Till exempel ser man till att följa upp. Om man vet att det finns diskriminerande lagstiftning försöker man att ordna en dialog med beslutsfattare för att kanske se till att dela med sig av de erfarenheter som vi har. Kanske försöker man tillsammans med andra nordiska länder att skapa en dialog och debatt och se till att det finns någon som lyssnar på kvinnorna och att de får framföra sina egna synpunkter.
i-XDFsB1TNJbeLbUFJubBgHN	Vi använder också vårt bistånd till att kompensera, för vad ska man säga om ett stort land som USA? Ska vi brännmärka också USA, som förföljer kvinnor som vill ha tillgång till lagliga aborter? Hur ska vi betrakta alla de länder som har en lång väg kvar eller där vi rent av har sett en tillbakagång när det gäller kvinnors rättigheter?
i-CmhATxACKmuu6puErH4Cqg	Vi måste fortsatt engagera oss när det gäller dessa länder. Vi kompenserar för att ett land som USA har dragit tillbaka sitt stöd till projekt runt om i världen som rör sexuell och reproduktiv hälsa. Vi fortsätter att se till att sakta men säkert förändra denna verklighet.
i-9v4MQsMFq1xx1BVd4hGfNw	Jag har ingenting emot något av dessa teman – konferenser i FN-sammanhang eller vad som nu är det bästa sättet. Jag är säker på att denna fråga också togs upp under den vecka som nyss har varit i samband med kommittén Cedaw, som arbetar för kvinnors rättigheter.
i-DDH2cB8p43dEg7MBM7Vxr5	Vi ska fortsätta att arbeta med dessa frågor, både konkret och med det normgivande och politiska arbetet, för att se till att det blir en förändring.
i-UdhAysrt27XFZCDP7zv59u	Att ta ifrån länder deras FN-platser tror jag inte hjälper – det är sällan isolering hjälper. Däremot ska vi fortsätta att markera och säga ifrån när vi märker att framsteg vänds till bakslag för kvinnor runt om i världen.
i-6UMpxy5fpRsdLU8BUvjnRS	Det är tyvärr en sådan utveckling vi har sett på sistone. Ofta är det autokrater – mycket självsvåldiga politiska ledare – som börjar sin politik med att se till att de kontrollerar kvinnors utseende, klädsel eller beteende på ett sätt som flyttar oss tillbaka i tiden.
i-L4CwgNdogJS94zNkWzkodr	Jag tror att jag har gjort mig känd för att våga säga vad jag tycker om en del metoder som har använts. Jag tror att det blir aktuellt även i nästa fråga att diskutera vad vi kan göra. Här bör länder som har samma syn på behovet av jämställdhet komma samman och agera gemensamt med ett tydligt budskap om nödvändigheten av jämställdhet och jämlikhet runt om i världen.
i-PtZGa3AbjEMbCMqD8tAZnG	Fru talman! Det är glädjande att vi är överens. Detta är viktiga frågor, och alla som har lite humanism inom sig borde egentligen agera mot det barbari som barn och kvinnor får utstå i många delar av världen.
i-MZNvrtBr4mk8n6XNiPWA2e	Jag menade inte att man helt och hållet ska ta ifrån länder vetorätten. När det finns sådana här lagar kan man dock – som den första feministiska utrikesministern skulle kunna påpeka – undra varför dessa länder ska vara med på samma villkor. Några länder borde vara observatörer i FN i stället för att ha fullt medlemskap.
i-DM5C1BAyTViDRr9at2BPjm	Jag menar att man också bör använda andra metoder. Jag vet att repressiva metoder inte alltid är bra eller kännbara, men ibland kan sådana metoder användas som en markering i fråga om halva befolkningen i många länder. Hundratals miljoner kvinnor, flickor och barn utsätts dagligen och årligen för de värsta av övergrepp. Därför menar jag att det är dags att gå från den tysta diplomatin till någonting kännbart.
i-CZ8QcpZy2yH4qKnrG7UiRg	Jag hoppas att utrikesministern kommer att ta upp förslaget om en inventering och en konferens i FN om de länder där hedersförtryck, könsstympning och barnäktenskap förekommer. Problemet ligger i deras lagstiftning. Jag vet att lagen inte ändrar allt, men lagen är ett viktigt skydd.
i-U5yDpyvgCY1g6ZZZHnDJ1V	Fru talman! Amineh Kakabaveh vet mycket väl att om det finns ett område där vi inte använder oss av tyst diplomati utan den raka motsatsen är det detta. Vi har skrutit om en feministisk utrikespolitik, och vi har varit tydliga med vad detta innebär: Kvinnor och flickor ska åtnjuta samma rättigheter, möjligheter och skyldigheter i ett samhälle som män. De ska ha samma lagliga och mänskliga rättigheter. De ska vara representerade och ha en röst överallt där viktiga beslut tas. Resurser ska dessutom gå också till deras behov.
i-ARJJ13hZeLT537AdNvNhmw	Vi fortsätter att vara högljudda, vill jag säga. Men det är klart: Det skulle inte bli så väldigt många länder kvar i FN om vi skulle utesluta alla dem som vi inte tycker riktigt genomför jämställdhet så som vi skulle vilja. Då skulle vi bli ganska få kvar. Däremot ska vi förstås fortsätta att arbeta med att följa upp våra rapporter via alla våra utlandsmyndigheter och via de organisationer och plattformar som vi har för att agera. Detta kan Amineh Kakabaveh vara alldeles övertygad om.
i-NrihEw5Kshbw2VQduKUSur	Vår plats som ett av de mest jämställda länderna är ett resultat av ett långsiktigt och systematiskt arbete, och vi behöver fortsätta att övertyga andra länder om att även de ska göra detta arbete.
i-G7MuoRgRngKdG14AQSjjDp	Dessa teman är absolut lämpliga för en debatt framöver. Inte minst såg jag själv i Tchad och Niger behovet av att se till att man stoppar barnäktenskap. Allt som plågar och förföljer kvinnor och flickor runt om i världen måste vi göra upp med. Amineh Kakabaveh och andra kan vara övertygade om att Sverige också i fortsättningen ska gå i spetsen för detta arbete.
i-S2BUpfT96ySCgcibmstgM2	Fru talman! Amineh Kakabaveh har frågat mig vad jag gör för människorättsadvokaten Nasrin Sotoudeh och andra fängslade kvinnor i Iran. Vidare har Amineh Kakabaveh frågat på vilket sätt Sverige kan stödja Nasrin Sotoudeh och andra kvinnliga människorättsförsvarare i landet. Hon har också frågat mig om jag avser att kalla upp Irans ambassadör för samtal om kvinnornas situation i Iran.
i-7VxRk3JwHFHQUB8N3tDSwm	Domen mot Nasrin Sotoudeh är ännu ett exempel på hur den iranska regimen inte respekterar rättsstatens principer. Utrikesdepartementet har därför i Stockholm tagit upp fallet Sotoudeh under samtal med seniora iranska företrädare på hög nivå, inklusive den iranske ambassadören. Den svenska hållningen har framförts på flera nivåer, inklusive högsta tjänstemannanivå, och detta skedde omgående efter att domen blev känd.
i-3b3AX9JMGnPyJxrQxJPQ41	Jag har också offentligt sagt att jag står bakom EU:s uttalande i frågan. EU förväntar sig en omedelbar översyn av Nasrin Sotoudehs dom samt att Iran säkerställer skyddet för hennes rätt att överklaga domen. Yttrandefriheten och förenings- och församlingsfriheten är hörnstenar i FN:s konven ­ tion om medborgerliga och politiska rättigheter, som Iran är part i och förväntas efterleva.
i-CjDS2AJxMzWfZnaHfC8tDj	Situationen för de mänskliga rättigheterna i Iran är fortsatt mycket då ­ lig. Sveriges position vad gäller respekten för mänskliga rättigheter, demo ­ krati och rättsstatens principer är tydlig, och vi har upprepat kritiserat Iran för deras brister. Detta inkluderar tillämpning av dödsstraffet, som vi för ­ dömer i alla dess former. Vi kommer fortsätta att ha en tydlig dialog med iranska företrädare om situationen i landet.
i-FZT53Rsxv1f5ENx9dCHdUf	Diskriminering av kvinnor och flickor är exempel på frågor som regelbundet tas upp i vår dialog med Iran. Ett konkret resultat av dialogen är det bilaterala samförståndsavtalet om samarbete för ökat kvinnligt deltagande från februari 2017. Avtalet, som följs upp av Svenska institutet, omfattar såväl arbetsmarknaden som samhällslivet. Kvinnors ekonomiska egenmakt är en viktig del i arbetet med den feministiska utrikespolitiken.
i-NErfH7Crc3UiQT1CExPTGR	Att skydda, främja och stödja ett brett spektrum av människorättsförsvarare är en annan tydlig prioritering i svensk utrikespolitik. Fängslandet av Nasrin Sotoudeh är bara det senaste av flera tecken på den negativa utvecklingen för människorättsförsvarare i Iran.
i-W6XAhLLMAhEnyhyCujGPYq	Genom vår ambassad i Teheran deltar vi i gemensamma EU- démarche r till det iranska utrikesdepartementet och rättsväsendet.
i-U2Nr8N41iFdLfshEesXvWK	Fru talman! Jag tackar utrikesministern för redogörelsen. Det gläder mig att utrikesministern har lyft frågan i olika sammanhang och också har kallat till sig den iranske ambassadören.
i-YbGw74m93LF9Leh1WJ36z6	Nasrin Sotoud eh är inte ensam. I världens olika länder har kvinnor, advokater, journalister och människorättsaktivister höjt rösten. Det måste vi också göra. Jag gjorde det under statsministerns frågestund, och jag gör det också nu.
i-6PDhfzhRqDZoekTutBRror	I Iran har kvinnorna i 40 år lidit under sharialagar och islamisk fundamentalistisk lagstiftning som osynliggör kvinnor. Kvinnornas kroppar ägs inte av dem själva utan av staten och lagarna.
i-4jgRqUq4QmqCS6DvrL2PjB	Nasrin Sotoud ehs brott är inget brott i egentlig mening. I en rättsstat, i en stat med lite mer mänskligt ansikte, kan man ta av sin slöja och äga sin egen kropp. Sotoudeh är anklagad för att ha tagit av sin slöja till exempel i fängelset, på grund av att hon företräder kvinnor som har tagit av slöjan. Hon har också lagt blommor på ställen där polisen aggressivt har arresterat kvinnor. Detta är Sotoudehs brott, enligt Irans lag. För det har hon fått först 5 års fängelse 2016 och sedan i början av mars i år ytterligare 33 år – sammanlagt 38 års fängelse och 148 piskrapp för att hon är människorättsadvokat och företräder kvinnor.
i-DQEye8wCSKGCH2dhM3FzSW	Detta borde man fördöma öppet. Här borde inte bara en översyn göras; vi måste kräva omedelbar frigivning av Nasrin Sotoud eh!
i-NCBGtvLXepY1CAJ3J6gNpx	Hon talade nyligen, har jag sett på Youtube, med sin son. Hon är mamma till två barn och har en familj. Det är så fruktansvärt att man inte kan hålla tillbaka tårarna när man ser en sådan människa bli symbol för den frihet som Irans folk, i synnerhet kvinnorna, har törstat efter i 40 år. Så länge har det rått slöjtvång i Iran.
i-BdkM5dybND1Aun1y4jE3WH	Visst ska Sverige samtala. Visst ska Sverige kalla in ambassadören. Men Sverige har också en minister som varit på ambassaden och gratulerat Iran på årsdagen av 40 års blodbad, mördande av oppositionella och inte minst förtryck av kvinnor. Hur kan man gratulera en stat för detta?
i-iLt4T6ooVtiiHLVaj6VpT	Vi har också till exempel Ahmadreza Djalali , vars fru och två barn väntar på hans död här i Stockholm.
i-AhxrRQ7KhPZ9EcHnjsBoQD	Sverige bör kräva av Iran att dessa personer ska friges. Förutom Nasrin Sotoudeh har vi i denna kammare lyft fram till exempel I smail Bakhshi , en arbetaraktivist från Haft Tepeh, som fått sex års fängelse för att han kräver löner åt arbetarna.
i-LyvHWEZRui2WP7PKtxWPq5	Jag menar att Iran är helt desperat när det gäller de progressiva feministernas kamp. Man har inget annat kvar än att ge oacceptabla och omänskliga långa fängelsestraff och piskrapp åt Nasrin Sotoudeh och många andra. Jag hoppas att vi kan kräva hennes frigivning.
i-8xqmqXXrRWNLveD3oQFCUs	Jag vill påminna om att det är det talade ordet som gäller i kammaren. Att visa bilder under hela anförandet är ett gränsfall.
i-XMcDdeVQyw9V8BuPTwzzYE	Fru talman! Det är en oroväckande utveckling i Iran. Amnesty International säger att detta är en av de värsta domarna på många år. Man kan tolka den som ett försök att tysta en oppositionell kraft.
i-FxQ2Z1DjyoUV9ckyBFMRLb	Tyvärr står det inte rätt till med rättsväsendet i Iran. Jag tycker att det är extra allvarligt när man ger sig på en fredlig aktivist och människorättsförsvarare. Hennes ”brott” är att hon har propagerat för kvinnors rätt att klä sig som de själva vill, vilket borde vara en självklarhet i alla världens länder. Hon har också propagerat mot dödsstraff, något som inte borde finnas i världen längre, och över huvud taget reagerat mot bristen på mänskliga rättigheter i Iran. Detta är alltså i allra högsta grad en politisk dom, och hon är en politisk fånge.
i-FQULuYVrpFBrt7XTsj7Bcd	Det finns mycket man kan kritisera i Irans rättsväsen. Det handlar om människor som döms för brott de begått när de var minderåriga. Det handlar om offentliga avrättningar, något som känns helt främmande och fruktansvärt i vår tid. Det är hemskt att det någonsin har hänt, men att det händer i vår moderna tid är fasansfullt. Allt detta är oroväckande.
i-He5dkmDd3KWQjk7R299TbP	Man kan uppfatta den här domen som ett sätt att försöka sätta skräck i andra som kämpar för mänskliga rättigheter, vilket är mycket allvarligt. Det har också kommit reaktioner både från Sverige och från andra länder. Vi måste försöka trycka på.
i-VmgMDXHvNounCbMAsHbSyG	Det började ju väldigt illa. En våldsam revolution i ett land brukar sällan sluta väl. Extremism i alla dess former är naturligtvis farligt, oavsett om man använder religion eller någonting annat som förevändning. En våldsam revolution, en diktatur och ett förtryck med religiös extremism är såklart ingen bra grund att stå på.
i-CLPGVyvUMGu2HUoZQMeJq3	Naturligtvis ska vi fördöma det som händer nu, men jag tror också att man får se det lite bredare. Donald Trump har nu en väldigt hård linje mot Iran när det gäller kärnenergiavtalet. I det fallet frågar jag mig om det är rätt väg att gå, om det verkligen bidrar till nedrustning. När det gäller exempelvis nedrustning och arbete för fred, grundläggande frågor som handlar om hela världens existens, tror jag att man måste samarbeta även med länder som tyvärr kränker demokrati och mänskliga rättigheter. Här tror jag tyvärr att Trumps beslut har bidragit i negativ riktning. Det blir en mer osäker värld.
i-A5mivzb5Swn6NzbgjduCcp	Så länge man inte kan se några tecken på att ett land bryter mot en överenskommelse tycker jag inte att det finns anledning att säga upp den. I de frågor där det är möjligt behöver man ha en dialog även med länder som Iran.
i-JnbmooxCmwXja5e3x43wN4	När det gäller kränkningarna mot mänskliga rättigheter finns det naturligtvis ingenting annat att göra än att kraftigt fördöma dem. Vad det sedan leder till är en annan fråga, men jag tror att man får ha en balansgång där man kraftigt fördömer men samtidigt inte har en total isolering av landet. Risken är annars att det blir ännu mer förtryck, ännu mer isolering och ännu mer inriktning på att kränka mänskliga rättigheter. Dessutom är risken att man går ifrån det nedrustningsarbete som är så nödvändigt både för världens säkerhet och för de mänskliga rättigheterna. Men kränkningarna av mänskliga rättigheter måste vi självklart fördöma.
i-GVeixrgFN8Yt1YKYZqqNFR	Fru talman! Sverige kräver även fortsättningsvis att Iran respekterar mänskliga rättigheter. Utöver bilaterala kontakter arbetar vi systematiskt och löpande med dessa frågor genom EU och FN och i kontakter med iranska företrädare. Domen mot Nasrin Sotoudeh är mycket upprörande, och så fort den blev känd tog UD upp fallet med seniora iranska företrädare på hög nivå, precis som jag sa, bland annat Irans ambassadör.
i-BdmeF3DHMmWymLDjddXWVr	EU har ju sanktioner mot Iran avseende mänskliga rättigheter sedan 2011. Arbete pågår just nu med att förlänga dessa restriktiva åtgärder i form av frysning av tillgångar och ekonomiska resurser samt reserestrik ­ tioner mot personer som är ansvariga för allvarliga kränkningar av mänsk ­ liga rättigheter i Iran.
i-8eAeuunirqBnafQgTtZyfx	Sverige är också med i kärngruppen som i Genève lägger fram resolu ­ tionen för FN:s specialrapportör för mänskliga rättigheter i Iran. Det omfattande tillämpandet av dödsstraff, som vi har hört om här, inklusive dödsstraff för minderåriga, är mycke t bekymmersamt. Sveriges och EU:s hållning när det gäller dödsstraffet är väl känd. Vi betraktar det som ett omänskligt, grymt och oåterkalleligt straff som strider mot de mänskliga rättigheterna. Vi fördömer dödsstraffets tillämpning i alla dess former. EU är en drivande aktör i arbetet för avskaffande av dödsstraff, och vi tar från vår sida en aktiv del i det arbetet.
i-FKT9kuzA8Ebz1jpYEYaPZQ	Dessutom är möjligheten till facklig organisering och fackliga rättigheter väldigt dålig i Iran. Oberoende fackföreningar är inte tillåtna, och även här gäller att många fackliga och arbetsrättsliga aktivister är fängslade. Just den situationen togs upp också när statsministern var på besök i Iran i februari 2017.
i-7PRmpguBUrbTwKgFjvCz1U	Yttrandefriheten och förenings- och församlingsfriheten måste respekteras. Det tas bland annat upp i UD:s rapport om mänskliga rättigheter, demokrati och rättsstatens principer som publicerades i april 2017. Det är ännu ett exempel på hur vi arbetar med landrapporter. Vi lyfter även de här frågorna regelbundet med Iran.
i-rswdBzbs8yCz7GeQwTq6j	Utöver det omfattande tillämpandet av dödsstraffet i Iran är användningen av tortyr också alarmerande. De rapporter om tortyr som till exempel fackliga företrädare utsätts för under fångenskap är alarmerande i allra högsta grad.
i-B4pyyAhuCYTqP4HGakP7ua	Vi kommer att fortsätta vårt arbete, och det kan komma att också omfatta att stärka sanktionsbestämmelserna gentemot Iran.
i-BXQN4VVeYXwvcr48eq5z7N	Fru talman! Tack, utrikesministern!
i-TkTpL4hykrQA7iJCPCBBa6	Javisst, Iran har skrivit under internationella konventioner, men man accepterar dem inte. I föregående debatt talade vi just om länder som kränker de mänskliga fri- och rättigheterna i sin lagstiftning. Särskilt kvinnorna var några av de första som utsattes vid Khomeinis övertagande då de inte fick gå ”nakna” till sin arbetsplats – om man inte hade hijab var man alltså naken. Det är därför Nasrin Sotoudeh har fått så höga straff. Enligt islamisk lag, sharialag, har hon propagerat för prostitution och oordning, och man menar att landets säkerhet är i fara. Så pass ängslig är man för kvinnorättsaktivister! Jag vet inte om jag ska skratta eller gråta, men det är faktiskt det här hon har blivit dömd för.
i-JwbieYc2UVj4bSPvvMbHna	Sverige gör en hel del. Sverige har företag i Iran, och vi vet att facket – det sitter representanter här på läktaren från LO och Transport – gång på gång har skrivit skrivelser enligt ILO:s internationella kärnkonventioner och om respekt för fackliga rättigheter och respekt för bildande av oberoende fack. Men Iran har blundat.
i-WtaXjsTft7jbs2Mx51uHxa	Sverige borde kräva att arbetare i de företag som jobbar där ska ha samma rättigheter och samma fackliga förmåner och löneförmåner som arbetarna i LO och Kommunal eller Handels här i Sverige. De t borde vi kräva.
i-TbCLSbHi3EMRnPrTLoDotp	Jag vet att Sverige satsar mycket när det gäller kvinnors företagande. Jag har inget emot att man gör det, men problemet är att vi tyvärr bidrar med pengar, våra skattemedel, till neoliberala kvinnor som vicepresidenten och inte till kvinnor som Nasrin Sotoudeh. Jag hoppas att det blir Nasrin Sotoudeh och hennes systrar nästa gång och inte de som motarbetar dem. Alla kvinnor är inte feminister, det vet vi. Iran har en milis som heter Khahar Zainab, och det är de som bevakar och bevarar det här, precis som i Daish där kvinnorna föder barn för att bevara kalifatet. Vi måste erkänna det, och det är inget fel att göra det. Vicepresidenten och många andra kvinnor som i de här sammanhangen dyker upp är representanter för en stat där de själva stiftar sådana lagar, stöder lagarna och implementerar dem. Därför måste vi, menar jag, markera gentemot dem.
i-7DEKkeGkJp8SvBWbpUQepg	Javisst, Sverige stöder kvinnokampen, men kvinnokampen är inte vicepresidenten eller några företagare som är neoliberala kvinnor som helt enkelt vill bevara systemet. Vi vill att kvinnorättsaktivister, arbetsrättsaktivister och andra människor som vi här i talarstolen kräver ska friges ska få ta del av vårt bistånd, vår demokrati och vår humanitära hjälp. Det ska gälla dem också.
i-3WHaTDSj3bzPtyRKwutWWF	Jag är glad att Margot Wallström och regeringen har kallat upp Irans ambassadör. Det är dags att göra någonting på EU-nivå. Det vore väldigt bra om man kunde gå ihop och kräva frigivning av Nasrin Sotoudeh men också av Ahmadreza Djalali och arbetaraktivisten Ismail Bakhshi .
