i-mgTSontHYWnxwpPQjFmrG	Följande dokument hänvisades till utskott:
i-Rypb2U8dM1jHQbPLEW4KEK	Fru talman! Vi anser att Sverige, precis som länder i hela världen, ska följa internationella konventioner, inte återförvisa människor till länder där de riskerar dödsstraff eller tortyr. Det har varit en uppfattning som både denna regering och tidigare regeringar under lång tid i Sverige har tyckt varit helt rimlig. Man ska inte godtyckligt anta uttalanden som bygger på osaklig grund utan faktiskt noggrant följa internationella konventioner och därmed se till att hålla dessa människor i fängslat förvar i Sverige.
i-VfA7jafJ6xRfEkmeGi87Fu	Fru talman! Vi bygger mycket ny infrastruktur i form av vägar och järnvägar i dag, men det planeras också för mycket bredband och nya el ‑ och kraftledningar på många håll i landet. Allt detta är självklart jätteviktigt för att samhället ska fungera.
i-UZAzhH2jKHm6raYLWDCJsF	I samtliga dessa byggen innebär det att man tar mycket jordbruksmark eller skogsmark i anspråk. Då görs också stora intrång i äganderätten och för den privata markägaren. Krav höjs på att använda så marksnål teknik som möjligt när man bygger till exempel nya kraft- och elledningar.
i-Aa3Vz4gNVS5e7muBssepdk	Att samförlägga så mycket infrastruktur som möjligt för att ta så lite mark i anspråk som möjligt är något som bör nyttjas mer och bättre runt om i landet. På det finns också en livsmedelsstrategi som säger att vi ska producera mer livsmedel i Sverige.
i-JAg6Z5L6oB9W2tVZLdNr4M	Min fråga blir därför till infrastrukturminister Tomas Eneroth: Hur jobbar regeringen och dess myndigheter med att minimera intrång, till exempel genom att samförlägga så mycket infrastruktur som möjligt så att så lite mark som möjligt tas i anspråk?
i-XrBtFmxN8cbfPw82rSNUnZ	Fru talman! Tack, Mikael Larsson, för en väldigt bra fråga! Det är helt rätt – vi står inför ett läge där vi redan nu med gällande nationell plan gör betydande infrastrukturinvesteringar i landet när det gäller såväl järnväg som väg. Vi kommer framöver att revidera den nationella planen och lägga en infrastrukturproposition på riksdagens bord som jag föreställer mig kommer att innehålla än fler satsningar för att kunna hålla ihop landet och modernisera infrastrukturen men också se till att vi klarar klimatutmaning ­ en. Då kommer kraven på ökad samplanering att bli allt viktigare.
i-Gqiktm74sriJonEymtmgPV	Vi har nyligen gett uppdrag till länsstyrelserna och Trafikverket att redovisa hur man kan göra planeringsprocessen både snabbare och mer effektiv. Jag tror att det är helt nödvändigt. Man ska ha så bra samplanering som möjligt.
i-J1gu5fzsBjiaN3MH5WLTYY	Men det kommer – det vill jag ändå vara ärlig med – att bli målkonflikter när samhällets gemensamma behov av att få den snabbaste vägen eller den bästa sträckningen ibland innebär att vi får betala markersättning till jordbrukare som står med produktiv skogsmark.
i-WUPd9H612YcpAtPfUrokJe	Fru talman! Det gläder mig ändå att regeringen har tagit dessa initiativ gentemot bland annat länsstyrelserna och Trafikverket.
i-GCYjAo693MztQK2DpzyQjC	Det är precis det här vi säger. Vi planerar för jättemycket, vi står inför stora investeringar och vi har många skrivningar i januariavtalet om bland annat infrastruktur och dylikt. Det görs också mycket stora investeringar i el- och kraftledningar runt om i landet.
i-WqEPoo1fquWL7wDaUQVSJ4	Detta är egentligen bara en uppmaning till regeringen att fortsätta och trycka på för att samförlägga än mer. Det ser jag fram emot att vi kan samarbeta om.
i-DkUeHndaQuZ9umGX9Wskbm	Fru talman! Jag delar den uppfattningen. Inte minst är det viktigt att man i planeringsprocessen har väl fungerande samråd med allt från kommuner till lokala organisationer, samfälligheter och andra. Den processen är oerhört viktig, och de gånger då det inte fungerat är det ofta för att man inte klarat kommunikationen i god tid.
i-93PjroPuao6KY3aRDpmXrb	Vi ska både underlätta planprocessen och ha en väl fungerande kommunikation men samtidigt vara ärliga och säga att ibland kommer det att bli målkonflikter där samhällets intressen får gå före.
i-F3GtkWtaAEPpQ9RTMBadvg	Fru talman! Våra regionala järnvägsbanor är i skriande behov av upprustning, då regeringen och Trafikverket ensidigt har fokuserat på de mest trafikerade banorna.
i-9MfY7C4VGys7BGjss9tk8L	Några av de regionjärnvägar som behöver upprustning skyndsamt är Kinnekullebanan, Lysekilsbanan, Bohusbanan, Stångådalsbanan mellan Kalmar och Linköping och Tjustbanan mellan Västervik och Linköping.
i-AwBFimTPeSmvi54HDgtMrX	Gällande de två sista, Stångådalsbanan och Tjustbanan, har samtliga partier i Region Kalmar gjort en framställan om en skyndsam upprustning av dessa banor till Trafikverket och regeringen.
i-8hEm88UoK3eByPHEoZcgG3	Jag ser att det skulle finnas stor klimat- och samhällsnytta i att bifalla en sådan framställan. Därför vill jag fråga infrastrukturministern ifall han har tagit del av den, vad han i så fall anser om den och ifall han ämnar ge större utrymme åt regionjärnvägarna i den kommande infrastrukturplaneringen.
i-9aj4tFqKJhsa5JhfU7rz74	Fru talman! Jag delar verkligen Jens Holms uppfattning att det är viktigt med investeringar i järnvägssystemet. Vi gör ju den största investeringen någonsin i järnvägen i Sverige. Vi rustar upp och renoverar – vi gör en 47-procentig ökning av järnvägsunderhållet – och bygger samtidigt nytt.
i-8MahjdqWFQLKFnU6Q7714K	Spadtag tas för Norrbotniabanan, det stora, fantastiska järnvägsprojekt som stoppades av alliansregeringen 2006 men som nu får förnyad fart. Hur viktigt hade det inte varit för Sverige om den hade varit byggd i dag med Northvolts etableringar och möjlighet till arbetsmarknadspendling?
i-Q5EFNEMwhg5CUMMnw8wpz	Vi kommer inom ramen för processen till en infrastrukturproposition och nationell plan att få ta ställning till hur vi ska kunna satsa på ytterligare viktiga järnvägsdelar – även i det småskaliga järnvägsnätet, var så säker – men också på nya stambanor för Sverige.
i-NWpUz8PxsZegGz5bbuCDNe	Fru talman! En av min frågor var ifall ministern har tagit del av framställan från samtliga partier i Region Kalmar.
i-Esh1U8XcXbL6yXGuUA5GfR	Jag har ett förslag till ministern: Varför inte låna pengarna till höghastighetsbanorna? Låna 200–250 miljarder kronor, lägg de pengarna i en separat projektorganisation och bygg ut höghastighetsbanorna skyndsamt! Då kommer vi att ha pengar kvar att satsa på järnväg i hela landet såsom de regionala järnvägarna.
i-5cLLV2PuX1dF4utG3WTjo2	Fru talman! Det är aldrig gratis att låna. Lån ska också betalas.
i-AdSyfNzKjDBSkBNhM6bGUK	Jag tycker att det viktigaste i detta fall är att vi har tillräckliga resurser för att satsa både på nya stambanor och på järnväg i hela landet. Vi får inte hamna i ett läge där vi ställer olika objekt mot varandra, utan hela landet måste hänga ihop. Det gäller för nuvarande nationell plan, och det kommer att gälla framöver.
i-GCX4ffZoUDuUe6wCSW4tTr	Jag har noterat att man i Kalmar är väldigt angelägen om banan. Jag hoppas att vännerna i Östergötland också är det, för det är en viktig del i den arbetsmarknadsförstoringen.
i-JZWHFZiDegwFV9dJokA8BQ	Fru talman! Förra veckan presenterade regeringen tillsammans med januaripartierna sin budget, som enligt deras egen utsago är historiskt stor. Det kan man i någon mening skriva under på. Det är en väldigt stor budget – 105 miljarder kronor är reformutrymmet.
i-B2T8LVQVLASfPhKCoLA96E	Inom detta reformutrymme kunde regeringen och januaripartierna inte skaka fram 50 miljoner, som var det Åklagarmyndigheten begärde. Min fråga i dag är därför: Glömde regeringen och januaripartierna bort Åklagarmyndigheten, eller struntade man helt enkelt i Åklagarmyndighetens äskande?
i-4LXaLJuzAtQZkwdVFnm3T8	Fru talman! Det är sant att det är en historisk budget. I ett läge där vi har en pandemi som pågår har det varit viktigt att kunna göra stora investeringar för att skjuta till resurser till sjukvården, till äldreomsorgen och inte minst till alla de företag som drabbas av pandemin genom olika stödinsatser men också att göra det nogsamt på ett sätt som inte urholkar stats ­ finanserna – något parti ville lägga 100 miljarder i månaden – utan är ansvarsfullt.
i-4QWCdkbLxC7B8hyYLhsoSK	Åklagarmyndigheten har de senaste åren fått reala tillskott som innebär att man i någon mening fått mer resurser än man begärt. Nu har vi ett effektivt rättsväsen och en polis som har mer resurser än någonsin. Det leder till fler fällande domar.
i-3c6pM5KKMLEvdZS5fxUkJW	Självklart kommer vi att följa utvecklingen när det gäller resurserna för åklagarväsendet.
i-WcLPsbGMuheLC6esjEnKHL	Fru talman! Det räcker inte att följa utvecklingen. Här krävs ju insatser.
i-Je92TL54uqoA6X6sxvtTry	Av de tillskott som gjorts de senaste åren och som regeringen ofta lyfter fram är merparten faktiskt satsningar som bygger på den alliansbudget som gick igenom 2015 och den M-KD-budget som gick igenom 2019. I själva verket drog regeringen ned på Åklagarmyndigheten 2017. Satsningarna bakåt i tiden kan man tacka KD för.
i-KPGt3sUYfL8WT1siDB12Hc	Nu har Liberalerna och till och med Centerpartiet öppnat för en ändringsbudget. Indikerar inte det att ni gjorde fel?
i-41iW4MVC3XEN5wLSj9JREX	Fru talman! Det indikerar framför allt att vi är en regering som tar ansvar för landets ekonomi men också gör ordentligt stora insatser för att kunna värna sjukvården, äldreomsorgen och alla de jobb och företag som hotas i pandemin och den ekonomiska kris som följer därefter och för att kunna prioritera allt från trygghetssystemen till andra delar av samhället.
i-FaGnAb2LGZEgHcx4VMLBZJ	I den prövningen ska naturligtvis ytterligare resurser till åklagarväsendet också övervägas.
i-PXNZgY8UriuTUnZMUfEbVW	Fru talman! Jag har en fråga till statsrådet Hallberg.
i-LS8Khgkj2ozXdMw8jM14QC	Jag är djupt oroad, fru talman. Regeringen har misslyckats i dialogen med våra nordiska grannländer. Jag är värmlänning men har inte längre koll på om gränsen är öppen eller ej. Handeln har påverkats. Det sociala livet har påverkats. Inte minst har det nordiska samarbetet påverkats.
i-66qGtEvcicv26nGWotAUpA	Visionen för Norden är att vi ska vara världens mest integrerade region. Nu känns det som om vi gått 50 år tillbaka – inte under krigstid utan under fredstid. Jag får dessutom oroväckande signaler, signaler om att covid-19 gett länderna anledning att ägna sig åt sig själva. Att upprätthålla svensk gränshandel är såklart inget norskt kärnvärde, men risken verkar uppenbar att pandemin tillåts leda till att klockan vrids många år tillbaka.
i-EfUiXCxUMigCcGrxvmkA4S	Min fråga är vilken plan regeringen har för att motverka detta och återigen stärka det nordiska samarbetet.
i-JpZjgJyEEaFDSdbnjfXmhq	Fru talman! Jag tackar för frågan. Regeringen har inte misslyckats med att påverka de andra nordiska länderna att fatta sina nationella beslut i det avseendet. De måste naturligtvis ha det nationella mandatet att fatta beslut när det gäller gränsfrågor.
i-MJwyRbez9hZVzYTwdn7yFn	Vad vi och framför allt jag som Nordenminister har gjort de senaste månaderna är att vi varit otroligt aktiva för att försöka skapa dialog och förståelse men också se vad det innebär för det nordiska samarbetet på kort sikt och lång sikt att man stänger gränserna på det sätt man nu gör.
i-9LY3aqmDVCLrn9fGzuhtrm	Sverige och den svenska regeringen har valt att ha öppna gränser. Vi har argumenterat starkt för att det är så vi vill se Norden. Sedan har de nordiska länderna, framför allt Norge, fattat beslut som gör att man var ­ annan vecka öppnar och stänger gränserna. Vi har varit väldigt kritiska till detta och påpekat det. Jag var själv i Oslo senast i går och sa att detta inte är hållbart på lång sikt.
i-B6i6Ybd9FC5XAc9aWqjzLv	Vi har alltså verkligen försökt påverka. Nu sägs det att vi har misslyckats med att påverka de andra regeringarna i deras beslutsfattande. Jag skulle vilja säga att det inte heller är där vi ska vara. Men vi ska naturligtvis försöka påverka.
i-FdyU2hzQh6RPy88BETfHxU	Fru talman! Det nordiska samarbetet bygger på solidaritet, koordina ­ tion och samverkan mellan länderna. Detta gäller framför allt i kristider, då samarbetet behövs som mest.
i-ATDJQkmDvE7VrGaa2wA8pu	Jag tycker att vi just nu är väldigt långt från den vision vi har satt upp tillsammans. Jag tror att regeringen och de andra nordiska regeringarna har ett ganska stort arbete framför sig när det gäller att återupprätta förtroendet. Vi värmlänningar väntar i alla fall på en konstruktiv plan.
i-7Gz9YDwGQm4n7y49dKg1Kv	Fru talman! Jag delar helt uppfattningen att vi är längre från den vi ­ sio ­ nen i dag än vi var för ett halvår sedan. Sverige har tagit den mest aktiva rollen när det gäller att försöka lösa upp knutarna och se till att gränsen så snabbt som möjligt kan öppnas – inte minst av ekonomiska skäl, men också av sociala skäl och med tanke på relationerna mellan våra medbor ­ gare.
i-KBW6T5jXpYuXefMrHShehE	Vi driver alltså frågan väldigt hårt från Sveriges sida. Det är en av de frågor som står högst på min agenda som Nordenminister. Jag ser också fram emot fortsatt diskussion, för det här behöver vi göra tillsammans.
i-8VMgHYTZyZKEXjRzB77gNm	Fru talman! Jag vill ställa min fråga till statsrådet Lena Micko.
i-DN9VjAhMPoGm1E47h19VJG	Pandemin har slagit hårt mot Sverige. Välfärden runt om i landet – vård, skola och inte minst äldreomsorg – har prövats hårt. Personalen har slitit i många och långa timmar. Den snabba ekonomiska nedgången speglas också i kommunernas och regionernas skatteintäkter, vilket riskerar att äventyra deras möjligheter att erbjuda en god välfärd till våra medborgare.
i-9UbpLAQCQxmgNEc1GGeM8S	Därför är det avgörande med de historiska tillskott som nu föreslås i budgetpropositionen. Jag vill fråga civilministern: Vilka är de viktigaste satsningarna i budgeten, inte bara för det här året utan även för kommande år?
i-TP1b43Pek3oE6MMTfqZTqS	Fru talman! Tack, Eva Lindh, för en väldigt viktig fråga! Den här budgeten innehåller verkligen stora, historiska satsningar. Det handlar om sjukvården, äldreomsorgen och skolan. Det är viktigt att detta märks i hela vårt land. Jag tror att det har stort stöd hos befolkningen och också, naturligtvis, hos medarbetarna i kommuner och regioner.
i-5dvVkPxL2DSKCt18aQWi3U	Pandemin har haft stora konsekvenser, men de stora behoven såg vi även innan. Framför allt är det viktigt att kommuner och regioner i grunden prioriterar väldigt mycket av dessa resurser själva, men de ska gå till välfärden.
i-ULzMT3kxJ3eZBC2uvHRNdY	Sedan har vi också en del riktade insatser. Sammantaget tror jag att detta har stor betydelse för att vi ska klara av en bra välfärd framåt.
i-G4v5BKcJRPbphKS96EW44K	Fru talman! Detta är verkligen välkomna och viktiga satsningar. För oss som brinner för äldreomsorgen låter det bra med den riktade satsningen på äldreomsorgen. Men jag undrar på vilket sätt Äldreomsorgslyftet kommer att kunna stärka kvaliteten i äldreomsorgen?
i-BWo238EWjfWgFTBBjdM6ws	Fru talman! Detta är en satsning som redan har påbörjats i landet, och nu stärks den ytterligare. Det bygger på att arbetsgivarna och de fackliga organisationerna kommer överens, och sedan är staten med som part och tar stora kostnader. Detta är mycket medvetet när vi ser behovet av att förstärka en stor del av medarbetarnas villkor när det gäller rekrytering och utbildning. Då betalar staten så att man på betald arbetstid ska kunna få en fortbildning; det gäller undersköterskor och vårdbiträden. Detta betyder, tror jag, oerhört mycket för att vi ska få lyftet i äldreomsorgen.
i-J8HsnTxDJ1DTs6c7hYjAJ	Fru talman! Jag har en fråga till statsrådet Eneroth om trafiksäkerhet vid landsvägscykling och Trafikverkets allt hårdare yttranden över ansökningar om tävling och uppvisning på väg.
i-B9sT5eA5bfgLp52WAsNNdx	I år har situationen förstås varit annorlunda på grund av corona, och många lopp har ställts in. Men nu planeras för nästa säsong, och 400 000 landsvägscyklister behöver nya träningsmål. För många cykelmotionärer är deltagandet i cykellopp också en viktig del av själva idrottsutövandet. Det mest kända är det gigantiska Vätternrundan, men de flesta lopp arrangeras av små föreningar, helt med ideella krafter, och har kanske 100, 150 eller 200 deltagare.
i-XsoPmVyDMEbU6kW1B3F8oq	Hur ser du på att motionslopp som har genomförts i 30, 40 eller ibland närmare 50 år och är helt ideellt arrangerade nu kanske inte kommer att kunna genomföras därför att Trafikverket ställer så hårda krav på trafiksäkerheten?
i-UGAUkE5vjSWiNecvgDJoaU	Fru talman! Tack, Camilla Hansén, för en väldigt bra fråga! Jag är själv cykelmotionär och tycker att inte minst Vätternrundan är ett fantastiskt lopp, liksom många andra lopp som arrangeras av ideella krafter med ett starkt engagemang för att främja cykling. Det är klart att Trafikverket också har ett uppdrag att främja detta och underlätta för det civila samhället att genomföra den typen av tävlingar.
i-7ohnjZtjWcDpvPWedYT8p6	Jag kan ha respekt – det ska man ha – för att vi under en pandemi får införa särskilda restriktioner; det tror jag att vi alla har. Jag har också respekt för trafiksäkerheten. Det är viktigt att man tar hänsyn till den så att man inte utsätter andra trafikanter eller motionärerna själva för faror.
i-CFpQdt3taPuuTKyCoMpkUQ	Jag vill att vi ska se en förbättrad samverkan mellan Trafikverket och civilsamhället just för att det är så oerhört viktigt att ta vara på den kraft och det engagemang som finns inte minst i Cykelsverige.
i-ESXqw8WQewXzU39NyuRKbv	Fru talman! Trafikverket är en av de tyngsta remissinstanserna, men det är länsstyrelsen i det län där loppet startar som fattar beslut. I Örebro län, som jag kommer från, gavs tillstånd för Vänern Runt med villkoret att inför 50-årsjubileet byta varv på loppet för att minska antalet vänstersvängar. Detta är såklart en trafiksäkerhetsfråga. Det visar sig att man kan minska från 41 till 38 vänstersvängar. Detta är ett lopp på 60 mil över tre dagar.
i-FXg1u2sYd7iEaA63EDubnh	Länsstyrelsen hanterar bara kompletta ansökningar. Är det till Trafikverket de ska vända sig?
i-EFgZRSrr1gS5PH3rJMAd16	Fru talman! Jag gillar vänstersvängar, ska jag erkänna. Men det är nog bra att svänga åt båda hållen ibland. Jag vill att det ska vara en så bra tillämpning som möjligt och bra samverkan mellan Trafikverket och länsstyrelsen, men det är viktigt att lyssna på det civila samhället. Det här är ideella krafter som jobbar på helger och nätter för att kunna organisera ett lopp. Det tycker jag är otroligt angeläget. Den signalen vill jag passa på att ge här i dag, men jag följer naturligtvis också upp detta i min dialog med Trafikverket.
i-HfbRpG6a7Ak9y2o2zibzqs	Fru talman! Jag riktar min fråga till civilministern.
i-FNrXeEyNtMgRxSFciNkPPw	I går kom beskedet att Sidas huvudkontor ska flytta till Sundbyberg. Turerna kring flytten har, som min kollega Hans Wallmark nämnde, varit många, och det framgår nu med all tydlighet att regeringens beslut om att utlokalisera myndigheten från nuvarande lokaler inte var genomtänkt. Frågorna är många. Vad har kostnaden för flytten av Sidas huvudkontor, Sveriges troligtvis dyraste adressändring, varit hittills, och vad kommer slutnotan att landa på?
i-Hs77erG1qyv6RzJwkWBvqp	Peter Eriksson motiverar beslutet om utlokalisering av Sidas huvudkontor med att statlig närvaro i hela landet är en fråga om legitimitet. Låt mig poängtera att hur regeringen prioriterar att spendera skattemedel onekligen också är en fråga om legitimitet.
i-RJRNPkScbLhBxmsLAkAhdc	Tycker civilministern att det är en rimlig prioritering att lägga miljonbelopp på att flytta Sidas huvudkontor 17 kilometer?
i-QmkF1AapgUffuNbL67h8P3	Fru talman! Peter Eriksson har tidigare svarat på frågan om kostnader och sagt att detta är något vi följer. Men jag vill säga att regeringens politik är att vi vill att myndigheter ska vara närvarande i hela landet och flytta från Stockholms innerstad. Det är vad detta handlar om. Det är en samhällsekonomisk fråga som är viktig för att vi ska ha tillväxt och jobb överallt i vårt land. Det handlar också om utsatta stadsdelar utanför Stockholms innerstad. Det är det svar som är viktigt att ge när det gäller statens ansvar och roll i detta.
i-RfaTV2HyUyZhDLRtFVchxf	Sidas flytt kommer ansvarigt statsråd naturligtvis också att följa väldigt noga.
i-RYeG9Pw9sUCgZmv5mBkcKj	Fru talman! I Migrationsverkets prognos från juli 2020 är man bekymrad över antalet förvarsplatser. Pengarna räcker inte till, och bedömningen är att man kommer att tvingas minska antalet förvarsplatser från dagens 520 till 450 om inte regeringen i budgetpropositionen ger återkoppling om hur man ska lösa denna prekära situation.
i-Ak3Scfny9xLNe46Tcp9ZuB	Hur ser då återkopplingen i budgetpropositionen ut? Jo, regeringen återkopplar inte alls och anslår inte en enda krona extra.
i-VGx9Y7qmCBPMSExzrzeC44	Fru talman! Dessa platser behövs. Det är 100 procents beläggning på dem. Personer som inte har rätt att befinna sig i landet släpps fria på grund av platsbrist. Jag vill därför fråga statsrådet Eneroth varför regeringen avser att minska antalet förvarsplatser.
i-DpuT7hoDK1aMJfqBgNJAHd	Fru talman! Man bör nog påminna ledamoten Andersson om att vi står mitt i en pandemi. Vi är i ett läge där vi har betydande utmaningar inom sjukvården för att ta hand om personer som är sjuka. Vi behöver skjuta till resurser till äldreomsorgen och till kommuner och regioner för att upprätthålla kollektivtrafik och säkerställa att vi räddar jobb och företag.
i-YRFGizk87br7f6BcpGXL7P	Vi är mitt i en stor, internationell kris. I det läget kraftsamlar vi med en budget på över 105 miljarder extra. Det är klart att de resurserna måste fördelas så gott som det är möjligt, och det finns naturligtvis en kontinuerlig dialog också mellan Justitiedepartementet och Migrationsverket om hur man ska hantera frågan om förvarsplatser, var så säker!
i-9mKqojFBhgiQmyZEtRfMvM	Fru talman! Nyligen har det avslöjats hur ledande personer inom Islamic Relief gjort avskyvärda antisemitiska uttalanden. Samtidigt har flera forskare visat på tydliga kopplingar mellan Islamic Relief och Muslimska brödraskapet. Det är uppgifter som styrks av utredningar i Frankrike och Tyskland. Trots detta kommer Islamic Relief Sweden även fortsatt att inneha status som strategisk humanitär partner till Sida.
i-TR8A3nGDL4SiMFDKyYMMbD	Jag vill därför fråga biståndsministern hur han motiverar ett svenskt partnerskap med en organisation kopplad till antisemitism och islamism och hur detta partnerskap rimmar med regeringens uttalade löfte om att bekämpa alla former av antisemitism.
i-VcufLEvnKrPMiYrdPHmsra	Fru talman! Tack, Lars Adaktusson, för frågan! Jag tycker att antisemi ­ tism är avskyvärd. Man ska också vara väldigt tydlig när det gäller kraven på att samarbete från svensk sida med organisationer som har antisemitiska drag ska avbrytas.
i-Hxdrk5uGDeQAB9ehxFwjed	Islamic Relief är en brittisk organisation. Där har man tidigare sett sådana uttalanden, men nu har de personerna avgått, också från Islamic Reliefs svenska delar.
i-JirvZU7mqRk7R1g9wWYvgA	Sida utser själv sina partner, och jag vet att man har gjort grundliga utvärderingar. Det har man också gjort på brittisk sida. Islamic Relief är en organisation som har gjort väldigt viktiga insatser och är nära verksamheten på ställen där det verkligen behövs humanitär hjälp, och där fungerar man ofta på ett bra sätt.
i-3BPFtr96qiLkXUKF4Tyg6t	Fru talman! Min fråga går till statsrådet Hallberg.
i-LfQLRwWyJ5tSCTZRU3QWaW	De nordiska länderna är ömsesidigt beroende av varandra, inte minst i våra gränsregioner. Därför har det varit smärtsamt att se hur konsekvenserna av de åtgärder som införts med anledning av coronapandemin har slagit rakt in i vårt nordiska samarbete. I mitt eget län Norrbotten, som gränsar mot både Norge och Finland, har vi drabbats väldigt hårt av gränsrestriktionerna. Besöksnäringen har lidit hårt, sjukvårdens personalförsörjning har hotats, och väldigt många människor i Haparanda-Torneå har inte kunnat gå till skolan, träffa sina släktingar eller komma till sitt jobb.
i-U1j3UgY8uFWbs5zQxWndZz	Detta sätter djupa spår, och jag är rädd för att det kommer att påverka samarbetet framöver. Min fråga till statsrådet blir: Vilka lärdomar kan vi dra av detta? Du utvecklade din agenda i svaret på en tidigare fråga. Går det att säga något mer om arbetet framöver?
i-TG63aHQkFkypQHUQAr18Zh	Fru talman! Tack, Fredrik Lundh Sammeli, för frågan! Jag fördjupar mig gärna lite. Jag svarade ju på Arman Teimouris fråga tidigare.
i-BpTbQ2j4D5uzkZXh8VQj6r	Det råder inget tvivel om att det nordiska samarbetet nu är satt under stor press. Från Sveriges sida är vi den regering som har tagit mest initiativ för att få det på rätt väg igen. Vi är inne i ett maratonlopp tillsammans, och vi är bekymrade över att vi inte ens i nuläget har koordinerat hur vi ska ta oss ur krisen tillsammans. Det är precis därför som jag nu reser runt till mina nordiska kollegor i de nordiska huvudstäderna för att ha en dialog som går lite mer på djupet.
i-LqypeZjqrFdUcdVzD8WePX	När det gäller just Finland och gränsen i Norrbotten har vi ändå lyckats få igång lite arbetspendling, vilket inte var möjligt från början, och man har öppnat lite för gränskommunerna. Men nu stänger man igen. Jag är övertygad om att vi kommer att lösa detta, men det kommer att ta tid.
i-HgfQqww7hYRa56u55Ne5Lg	Vi har lite bråttom nu, och det är därför Sverige ligger på så pass hårt mot de andra länderna. Vi är nog de mest angelägna just nu. Men som sagt, vi får jobba tillsammans, ni som jobbar i gränsregioner och vi som jobbar mot regeringar och så vidare. Tack för frågan!
i-DhaSzBUBuAbeeMUjxw3h7K	Fru talman! Sveriges viktigaste väg är Europaväg 4, som löper mellan Haparanda och Helsingborg. Den är hela 1 590 kilometer lång och en otroligt viktig pulsåder för både gods och människor.
i-7eJCqMJhBzNiXZSPbJKpQm	På hela sträckan klyver E4 bara en stad, nämligen Örnsköldsvik, kän d inte minst för sitt hockeylag Modo, får jag väl tillägga. Det finns ett förslag till en förbifart utanför Örnsköldsvik. Den är utredd men finns inte med i den nationella planen. Min fråga till infrastrukturminister Tomas Eneroth blir därför: Kommer Förbifart Örnsköldsvik med i nästa nationella plan, inklusive finansiering?
i-KCKw2ePwe5sVYk5qA6goqB	Fru talman! Tack , Jörgen B erglund, som nu sällar sig till skaran av ledamöter från den regionen som påtalar detta! Vi har också en statsminister som ivrigt hejar på ishockeylaget därifrån. Han petar dock inte i infrastrukturinvesteringen. Jag lyssnar dock väldigt noga på alla önskemål just nu inför det arbete vi ska göra med den kommande nationella planen.
i-5HPfYqWhSztQJpUufJc6w3	Det jag kan säga och som är väldigt viktigt i det här sammanhanget är naturligtvis att vi sätter trafiksäkerheten högt. Det är viktigt att de stora europavägarna har en hög trafiksäkerhet. Det märks inte minst på de 164 miljarder som vi i dag lägger på vägunderhåll och ökad trafiksäkerhet på vårt vägnät.
i-13fFgcjqz7cErfsvAU3kWE	Inför kommande revidering av nationell plan kommer jag naturligtvis också att ha en tät och bra dialog med företrädare för Västernorrland, inte minst om E4:an vid Ö-vik. Det kan jag garantera.
i-BSntMzCHCmHDKqDEkN2iZn	Fru talman! Myndigheten Delegationen mot segregation beviljade nyligen över 900 000 kronor till ett projekt för att motverka segregation i Malmö. En av de föreningar som driver detta projekt heter Grupp 194 Malmö och leds av en man som heter Hussein Shobash. Det är en man som öppet skryter om sin bakgrund inom en terrororganisation som bland annat har gjort sig skyldig till massakrer på israeliska barn och raketbeskjutningar mot Israel.
i-X6W9wd7tiFXbtPe7C3RSCZ	Förutom detta sprider Grupp 194 Malmö i sociala medier aktivt antisemitisk propaganda. De hyllar mord på civila judar, och de sprider bilder av barn med automatvapen och karikatyrer av judiska män. Allt detta går att ta reda på genom en enkel googling.
i-UDW8487LXoSubitYtwXUoq	Fru talman! Tack, Ludvig Aspling, för frågan! Jag delar verkligen inte uppfattningen att regeringen inte gör något. Vid återkommande tillfällen har det skett både skärpningar av tilldelningen av resurser och noggranna genomgångar av de värderingsgrunder som finns hos de organisationer som ansöker om resurser för statligt stöd.
i-32HcfgQaMmom5RYvuCtzW7	Jag ska ärligt erkänna att jag inte känner till Grupp 194. Det ligger sannolikt på Justitiedepartementets område, så jag får föreslå att ledamoten ställer en lite mer precis fråga till ansvarigt statsråd. Men i grunden ska det inte vara någon tvekan om att resurser ska gå till organisationer som ställer upp på demokrati och respekt för mänskliga rättigheter i alla led och inte har rasister hos sig.
i-JL1P4N4RS6SVYF51et9TR2	Fru talman! Just nu pågår arbetet med att ta fram en ny nationell plan för trafik och infrastruktur på Infrastrukturdepartementet. Vägar och järnvägar har inget egenvärde i sig, utan det handlar om att människor och företag ska kunna leva sina liv och bedriva sina verksamheter. Människor ska kunna ta sig till arbete, studier och fritidsaktiviteter.
i-6qSb8wH3rtCRE1xco8ssg9	Vi ska också bidra till ett Sverige som håller ihop, ett ökat bostadsbyggande och förbättrade förutsättningar för näringslivet. Sist men inte minst ska vi bidra till omställningen till ett fossilfritt välfärdsland. Det ska vara ekologiskt, socialt och ekonomiskt hållbart. Till den sociala hållbarheten hör bland annat jämställdhet. Därför vill jag fråga infrastrukturministern: Hur kan vi arbeta för att genusperspektivet och jämställdheten ska få ett större genomslag i arbetet med den nya planen?
i-AcNj2FwcJxnUHcAi9V587f	Fru talman! Tack, Carina Ödebrink, för en väldigt bra fråga! Vi har i direktiven till Trafikverket denna gång lagt till just utgångspunkterna socioekonomi och jämställdhet. Det har inte funnits med tidigare.
